
> english-learning-server@1.0.0 start
> node index.js

MySQL 数据库和表结构初始化完成
✅ 服务器已启动，监听端口: 3000
📡 API地址: https://localhost:3000/api
💾 数据库: MySQL
2026-08-03T13:29:37.568Z - GET /api/achievement?userId=76
2026-08-03T13:29:37.589Z - GET /api/settings?userId=76
2026-08-03T13:29:49.135Z - POST /api/word/status/unknown
2026-08-03T13:29:49.356Z - GET /api/words/wrong?limit=1
2026-08-03T13:29:49.957Z - GET /api/achievement?userId=76
2026-08-03T13:29:49.981Z - GET /api/settings?userId=76
2026-08-03T13:30:05.065Z - POST /api/word/status/unknown
2026-08-03T13:30:05.497Z - GET /api/words/wrong?limit=1
2026-08-03T13:30:06.118Z - GET /api/settings?userId=76
2026-08-03T13:30:06.132Z - GET /api/achievement?userId=76
2026-08-03T13:30:11.788Z - POST /api/word/status/known
2026-08-03T13:30:12.492Z - GET /api/words/wrong?limit=1
2026-08-03T13:30:13.084Z - GET /api/achievement?userId=76
2026-08-03T13:30:13.104Z - GET /api/settings?userId=76
2026-08-03T13:30:14.865Z - POST /api/word/status/known
2026-08-03T13:30:15.185Z - GET /api/words/wrong?limit=1
2026-08-03T13:30:15.782Z - GET /api/settings?userId=76
2026-08-03T13:30:15.790Z - GET /api/achievement?userId=76
2026-08-03T13:30:21.176Z - POST /api/word/status/unknown
2026-08-03T13:30:21.399Z - GET /api/words/wrong?limit=1
2026-08-03T13:30:22.014Z - GET /api/achievement?userId=76
2026-08-03T13:30:22.016Z - GET /api/settings?userId=76
2026-08-03T13:30:24.935Z - POST /api/word/status/known
2026-08-03T13:30:25.121Z - GET /api/words/wrong?limit=1
2026-08-03T13:30:25.703Z - GET /api/achievement?userId=76
2026-08-03T13:30:25.726Z - GET /api/settings?userId=76
2026-08-03T13:30:26.471Z - POST /api/user/stats/study-time
2026-08-03T13:30:27.235Z - GET /api/achievement?userId=76
2026-08-03T13:30:27.254Z - GET /api/settings?userId=76
2026-08-03T13:30:40.504Z - POST /api/word/status/unknown
2026-08-03T13:30:40.748Z - GET /api/words/wrong?limit=1
2026-08-03T13:30:41.374Z - GET /api/achievement?userId=76
2026-08-03T13:30:41.394Z - GET /api/settings?userId=76
2026-08-03T13:30:46.008Z - POST /api/word/status/unknown
2026-08-03T13:30:46.170Z - GET /api/words/wrong?limit=1
2026-08-03T13:30:46.786Z - GET /api/achievement?userId=76
2026-08-03T13:30:46.804Z - GET /api/settings?userId=76
2026-08-03T13:30:56.209Z - GET /api/words/count
2026-08-03T13:30:56.226Z - GET /api/words/daily?limit=20&progressive=1
2026-08-03T13:30:56.318Z - GET /api/word/status?userId=76
2026-08-03T13:30:56.329Z - GET /api/words/wrong?limit=1
2026-08-03T13:30:56.497Z - GET /api/user/stats?userId=76
2026-08-03T13:30:57.915Z - GET /api/words/daily?limit=60&progressive=1
2026-08-03T13:31:01.456Z - GET /api/words/count
2026-08-03T13:31:01.479Z - GET /api/words/daily?limit=20&progressive=1
2026-08-03T13:31:01.491Z - GET /api/word/status?userId=76
2026-08-03T13:31:01.508Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:01.608Z - GET /api/user/stats?userId=76
2026-08-03T13:31:03.235Z - GET /api/words/daily?limit=60&progressive=1
2026-08-03T13:31:10.989Z - POST /api/speech/evaluate
2026-08-03T13:31:12.305Z - POST /api/word/status/known
2026-08-03T13:31:12.397Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:13.016Z - GET /api/settings?userId=76
2026-08-03T13:31:13.018Z - GET /api/achievement?userId=76
2026-08-03T13:31:17.110Z - POST /api/speech/evaluate
2026-08-03T13:31:18.599Z - POST /api/word/status/known
2026-08-03T13:31:19.180Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:19.782Z - GET /api/achievement?userId=76
2026-08-03T13:31:19.791Z - GET /api/settings?userId=76
2026-08-03T13:31:22.743Z - POST /api/speech/evaluate
2026-08-03T13:31:23.638Z - POST /api/word/status/known
2026-08-03T13:31:23.787Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:24.398Z - GET /api/achievement?userId=76
2026-08-03T13:31:24.401Z - GET /api/settings?userId=76
2026-08-03T13:31:26.473Z - POST /api/user/stats/study-time
2026-08-03T13:31:27.277Z - GET /api/achievement?userId=76
2026-08-03T13:31:27.279Z - GET /api/settings?userId=76
2026-08-03T13:31:28.309Z - POST /api/speech/evaluate
2026-08-03T13:31:29.530Z - POST /api/word/status/known
2026-08-03T13:31:29.790Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:30.391Z - GET /api/settings?userId=76
2026-08-03T13:31:30.393Z - GET /api/achievement?userId=76
2026-08-03T13:31:34.317Z - POST /api/speech/evaluate
2026-08-03T13:31:35.864Z - POST /api/word/status/known
2026-08-03T13:31:36.034Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:36.647Z - GET /api/achievement?userId=76
2026-08-03T13:31:36.678Z - GET /api/settings?userId=76
2026-08-03T13:31:40.500Z - POST /api/speech/evaluate
2026-08-03T13:31:41.700Z - POST /api/word/status/unknown
2026-08-03T13:31:41.902Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:42.501Z - GET /api/achievement?userId=76
2026-08-03T13:31:42.505Z - GET /api/settings?userId=76
2026-08-03T13:31:45.906Z - POST /api/speech/evaluate
2026-08-03T13:31:47.218Z - POST /api/word/status/known
2026-08-03T13:31:47.351Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:47.950Z - GET /api/settings?userId=76
2026-08-03T13:31:47.952Z - GET /api/achievement?userId=76
2026-08-03T13:31:51.499Z - POST /api/speech/evaluate
2026-08-03T13:31:52.650Z - POST /api/word/status/unknown
2026-08-03T13:31:52.817Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:53.444Z - GET /api/achievement?userId=76
2026-08-03T13:31:53.447Z - GET /api/settings?userId=76
2026-08-03T13:31:54.950Z - POST /api/speech/evaluate
2026-08-03T13:31:55.614Z - POST /api/word/status/unknown
2026-08-03T13:31:55.783Z - GET /api/words/wrong?limit=1
2026-08-03T13:31:56.375Z - GET /api/settings?userId=76
2026-08-03T13:31:56.377Z - GET /api/achievement?userId=76
2026-08-03T13:31:58.964Z - POST /api/speech/evaluate
2026-08-03T13:32:00.229Z - POST /api/word/status/unknown
2026-08-03T13:32:00.588Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:00.936Z - GET /api/achievement?userId=76
2026-08-03T13:32:00.951Z - GET /api/settings?userId=76
2026-08-03T13:32:04.474Z - POST /api/speech/evaluate
2026-08-03T13:32:05.661Z - POST /api/word/status/unknown
2026-08-03T13:32:05.791Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:06.572Z - GET /api/achievement?userId=76
2026-08-03T13:32:06.682Z - GET /api/settings?userId=76
2026-08-03T13:32:06.827Z - GET /api/speech/tts?text=when&speed=3
2026-08-03T13:32:10.656Z - POST /api/speech/evaluate
2026-08-03T13:32:12.016Z - POST /api/word/status/unknown
2026-08-03T13:32:12.207Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:12.808Z - GET /api/achievement?userId=76
2026-08-03T13:32:12.824Z - GET /api/settings?userId=76
2026-08-03T13:32:17.630Z - POST /api/speech/evaluate
2026-08-03T13:32:19.130Z - POST /api/word/status/unknown
2026-08-03T13:32:19.334Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:19.941Z - GET /api/achievement?userId=76
2026-08-03T13:32:19.961Z - GET /api/settings?userId=76
2026-08-03T13:32:22.653Z - GET /api/words/count
2026-08-03T13:32:22.699Z - GET /api/words/daily?limit=20&progressive=1
2026-08-03T13:32:22.889Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:22.891Z - GET /api/word/status?userId=76
2026-08-03T13:32:23.466Z - GET /api/user/stats?userId=76
2026-08-03T13:32:24.173Z - GET /api/words/daily?limit=60&progressive=1
2026-08-03T13:32:26.470Z - POST /api/user/stats/study-time
2026-08-03T13:32:27.217Z - GET /api/achievement?userId=76
2026-08-03T13:32:27.239Z - GET /api/settings?userId=76
2026-08-03T13:32:29.160Z - POST /api/word/status/known
2026-08-03T13:32:29.291Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:29.896Z - GET /api/achievement?userId=76
2026-08-03T13:32:29.923Z - GET /api/settings?userId=76
2026-08-03T13:32:31.063Z - POST /api/word/status/known
2026-08-03T13:32:31.231Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:31.990Z - GET /api/achievement?userId=76
2026-08-03T13:32:31.994Z - GET /api/settings?userId=76
2026-08-03T13:32:37.727Z - POST /api/word/status/unknown
2026-08-03T13:32:37.924Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:38.534Z - GET /api/settings?userId=76
2026-08-03T13:32:38.537Z - GET /api/achievement?userId=76
2026-08-03T13:32:44.005Z - POST /api/word/status/known
2026-08-03T13:32:44.517Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:45.316Z - GET /api/achievement?userId=76
2026-08-03T13:32:45.318Z - GET /api/settings?userId=76
2026-08-03T13:32:48.224Z - POST /api/word/status/known
2026-08-03T13:32:48.445Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:49.049Z - GET /api/achievement?userId=76
2026-08-03T13:32:49.051Z - GET /api/settings?userId=76
2026-08-03T13:32:49.869Z - POST /api/word/status/known
2026-08-03T13:32:50.179Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:50.694Z - GET /api/achievement?userId=76
2026-08-03T13:32:50.714Z - GET /api/settings?userId=76
2026-08-03T13:32:55.354Z - POST /api/word/status/known
2026-08-03T13:32:55.514Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:56.116Z - GET /api/achievement?userId=76
